=== BATCH A (29 Qs) ===
prio-001 | À une intersection sans signalisation, quelle règle s'applique ? || A: Priorité au véhicule venant de droite | B: Priorité au premier arrivé | C: Priorité au véhicule le plus gros | D: Priorité au véhicule venant de gauche || CORRECT: A
prio-006 | À un carrefour sans signalisation, quelle est la règle de priorité ? || A: Le premier arrivé passe en premier | B: Priorité à droite | C: Le véhicule le plus gros a la priorité | D: Priorité à gauche || CORRECT: B
prio-014 | À une intersection sans signalisation, quelle règle s'applique ? || A: Le premier arrivé passe en premier | B: Priorité à droite | C: Le véhicule le plus rapide a la priorité | D: Les deux véhicules doivent s'arrêter || CORRECT: B
prio-016 | Vous sortez d'un parking privé. Qui a la priorité ? || A: Vous, car vous êtes sur la route en premier | B: Tous les autres usagers de la route | C: Priorité à droite normale | D: Les piétons uniquement || CORRECT: B
prio-019 | À un carrefour, un feu tricolore est en panne (éteint). Quelle règle s'applique ? || A: Tout le monde s'arrête | B: Priorité à droite | C: Le premier arrivé passe | D: Pas de règle, c'est chacun pour soi || CORRECT: B
prio-038 | À une intersection sans signalisation, quelles règles de priorité s'appliquent simultanément ? || A: Priorité à droite, sauf véhicules venant d'un chemin de terre ou d'une propriété | B: Aucune règle ne s'applique, chacun passe quand il peut | C: Le véhicule le plus rapide passe en premier | D: Priorité au véhicule le plus lourd || CORRECT: A
prio-042 | Qui a la priorité dans un parking privé ou public ? || A: Le véhicule qui circule dans l'allée principale | B: La priorité à droite s'applique sauf signalisation contraire | C: Le véhicule qui sort de sa place de stationnement | D: Il n'y a aucune règle de priorité dans les parkings || CORRECT: B
prio-044 | Un véhicule sort d'un garage ou d'une propriété privée. Qui a la priorité ? || A: Le véhicule qui sort, car il est déjà engagé | B: Les usagers circulant sur la voie publique ont la priorité | C: La priorité à droite s'applique normalement | D: Les piétons uniquement ont la priorité || CORRECT: B
prio-047 | À un carrefour non signalisé en zone rurale, quelle règle de priorité s'applique ? || A: Le véhicule le plus rapide a la priorité | B: La priorité à droite s'applique | C: Le véhicule venant de la route la plus large a la priorité | D: Il n'y a aucune règle, les conducteurs doivent négocier || CORRECT: B
prio-050 | Un véhicule sort d'une voie sans issue (impasse). Qui a la priorité ? (2 réponses) || A: Les véhicules circulant sur la voie principale | B: Les piétons traversant la sortie de l'impasse | C: Le véhicule sortant de l'impasse car il a la priorité à droite | D: Le véhicule sortant de l'impasse car les impasses sont considérées comme des voies prioritaires || CORRECT: A+B
prio-055 | Quelles précautions devez-vous prendre à l'approche d'une intersection sans signalisation ? || A: Appliquer la règle de la priorité à droite | B: Ralentir et être prêt à s'arrêter | C: Le premier arrivé a la priorité | D: Le véhicule le plus gros a toujours la priorité || CORRECT: A+B
prio-056 | Quelles affirmations sont correctes concernant la priorité des tramways ? || A: Le tramway a toujours la priorité, sauf indication contraire d'un agent ou d'un feu | B: Il est interdit de stationner sur les voies de tramway | C: Le tramway doit respecter la priorité à droite comme les autres véhicules | D: Vous pouvez rouler sur les voies de tramway s'il n'y a pas de tramway en vue || CORRECT: A+B
media-019 | A cette intersection avec priorite a droite, dans quel ordre passent les vehicules ? || A: Bleu, Rouge, Vert | B: Rouge, Vert, Bleu | C: Vert, Bleu, Rouge | D: Bleu, Vert, Rouge || CORRECT: C
media-061 | Le feu orange clignote a cette intersection. Le vehicule bleu approche du sud et le vehicule rouge vient de la gauche. Qui a la priorite? || A: Le vehicule bleu car il est sur la route principale | B: Le vehicule rouge car il vient de la droite du bleu | C: Le premier arrive | D: Personne, il faut attendre le feu vert || CORRECT: B
media-082 | Le vehicule bleu veut tourner a gauche a cette intersection. Le vehicule rouge arrive en face. Qui a la priorite? || A: Le vehicule bleu car il est arrive en premier | B: Le vehicule rouge car il va tout droit | C: Le vehicule qui klaxonne en premier | D: Le vehicule bleu car tourner a gauche est prioritaire || CORRECT: B
prio-058 | En l'absence de signalisation, qui a la priorité à une intersection ? || A: Le véhicule venant de gauche | B: Le véhicule venant de droite | C: Le véhicule le plus rapide | D: Le véhicule le plus gros || CORRECT: B
media-115 | Que change ce panneau pour votre conduite ? || A: Vous n'êtes plus sur une route prioritaire — la priorité à droite s'applique de nouveau | B: Début d'une zone prioritaire | C: Fin de limitation de vitesse | D: Route en travaux || CORRECT: A
prio-118 | À une intersection sans signalisation, qui a la priorité ? || A: Le véhicule venant de gauche | B: Le véhicule venant de droite | C: Le véhicule le plus rapide | D: Le véhicule le plus gros || CORRECT: B
prio-128 | Quelles affirmations sont correctes concernant le couloir d'urgence sur autoroute ? (2 réponses) || A: Les véhicules de la voie de gauche se décalent vers la gauche | B: Les véhicules des autres voies se décalent vers la droite | C: Le couloir d'urgence se forme entre la voie de gauche et la bande d'arrêt d'urgence | D: Vous pouvez utiliser le couloir d'urgence pour dépasser les bouchons || CORRECT: A+B
prio-154 | Quelles affirmations sur la priorité à droite sont correctes ? || A: Elle s'applique par défaut à toute intersection sans signalisation | B: Elle s'applique même si la route venant de droite est plus petite | C: Elle ne s'applique pas sur les routes nationales | D: Elle s'applique uniquement en agglomération || CORRECT: A+B
